account_id,first_name,last_name,dob,address,city,postcode,debt_amount
CRM-10001,Ruth,Griffiths,1996-01-08,"Flat 32
Sian Streets",New Maryton,E3 8ZA,3215.16
CRM-10002,Chelsea,Ryan,1989-10-12,"Flat 79
Barker Avenue",Lake Mary,FY2 5ED,173.8
CRM-10003,Jessica,Glover,2003-03-25,"Studio 40
Wilkinson Lane",New Billystad,L1A 4DJ,1411.4
CRM-10004,Oliver,Palmer,1976-05-30,"Flat 55
Vanessa Grove",New Heatherburgh,L2H 4XJ,1154.89
CRM-10005,Lydia,Duncan,1997-11-03,0 Alexander Circles,New Guy,W67 4FJ,3695.53
CRM-10006,Chelsea,Powell,1996-05-23,"Studio 65
Ashley Pass",Greenton,G2 9DR,3399.66
CRM-10007,Margaret,Wright,1977-05-29,"Studio 01
Read Junctions",West Tracyburgh,AB48 8EN,4466.29
CRM-10008,Ruth,Buckley,1959-02-03,28 June Islands,Brownstad,EC0 9DD,480.35
CRM-10009,Danielle,Sharp,1997-04-25,7 Arthur Pines,Arnoldside,SM3Y 6QT,2138.51
CRM-10010,Georgia,Price,1962-06-05,5 Joan Plaza,New Gerald,E0 1BP,197.5
CRM-10011,Steven,Lewis,1964-07-04,"Flat 82
Smith Mountains",Batesville,KY5P 7BE,1132.26
CRM-10012,Benjamin,Ahmed,1968-08-24,3 Paula Mission,South Justin,LL3 7XE,2551.51
CRM-10013,Adam,Riley,1982-05-06,3 Jane Oval,Dobsonfurt,G6 6LT,181.35
CRM-10014,Mitchell,Davison,1995-04-08,"Flat 34
Kevin Prairie",Lake Terryton,W8 0WD,1034.25
CRM-10015,Christian,Rees,1950-03-08,19 Rosemary Ranch,New Jonathanchester,PA9V 4HP,3266.93
CRM-10016,Shane,Phillips,1954-06-18,"Studio 5
John Mount",North Shannonborough,M2F 3QN,2747.46
CRM-10017,Charles,Williams,1982-07-10,"Studio 80
Begum Cove",West Connor,G4 9HP,1141.18
CRM-10018,Dennis,Holmes,2003-08-07,"Studio 74
Colin Roads",Nortonton,N2 2TX,2966.87
CRM-10019,Diana,Rowe,1946-03-20,2 Lauren Prairie,South Scott,M5 5HJ,4056.68
CRM-10020,Dorothy,Webb,1998-08-23,"Studio 23
Edward Loop",East Brettchester,WN3M 1RB,82.17
CRM-10021,Pauline,Morton,2001-02-15,"Flat 43o
Katy Fields",Millsland,HS8 8PA,4038.81
CRM-10022,Connor,Shaw,1963-05-02,401 Ward Turnpike,Amandahaven,S9 4BS,3505.79
CRM-10023,David,Reynolds,2000-06-09,61 Johnson Shore,Lake Cliffordhaven,SG6 6NX,1734.24
